Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
114		0.0257		0.3003		0.9792		0.8754		0.00039704
115		0.0251		0.2868		0.9799		0.8785		0.00039612
116		0.0250		0.2419		0.9794		0.8829		0.00039520
117		0.0259		0.5203		0.9793		0.8059		0.00039427
118		0.0258		0.3257		0.9792		0.8589		0.00039335
119		0.0261		0.3443		0.9791		0.8453		0.00039242
120		0.0250		0.3701		0.9793		0.8420		0.00039150
121		0.0257		0.4688		0.9788		0.8133		0.00039057
122		0.0237		0.3201		0.9810		0.8587		0.00038965
123		0.0240		0.3886		0.9806		0.8438		0.00038872
124		0.0247		0.5366		0.9799		0.8095		0.00038780
125		0.0237		0.4522		0.9805		0.8398		0.00038687
126		0.0235		0.4738		0.9806		0.8366		0.00038594
127		0.0238		0.4537		0.9806		0.8386		0.00038502
128		0.0225		0.3843		0.9815		0.8555		0.00038409
129		0.0223		0.3142		0.9819		0.8717		0.00038316
130		0.0227		0.4707		0.9813		0.8274		0.00038224
131		0.0227		0.2661		0.9815		0.8859		0.00038131
132		0.0223		0.4183		0.9816		0.8492		0.00038038
133		0.0269		0.4251		0.9782		0.8483		0.00037945
134		0.0326		0.3641		0.9738		0.8550		0.00037853
135		0.0360		0.3732		0.9731		0.8309		0.00037760
136		0.0356		0.4091		0.9714		0.8259		0.00037667
137		0.0288		0.3648		0.9770		0.8528		0.00037574
138		0.0272		0.3776		0.9778		0.8422		0.00037481
139		0.0249		0.3811		0.9796		0.8552		0.00037388
140		0.0236		0.5827		0.9807		0.8105		0.00037295
141		0.0220		0.3395		0.9819		0.8685		0.00037202
142		0.0227		0.3555		0.9816		0.8593		0.00037109
143		0.0224		0.3795		0.9815		0.8589		0.00037016
144		0.0293		0.3603		0.9779		0.8508		0.00036923
145		0.0616		0.3963		0.9592		0.7955		0.00036830
146		0.0422		0.2639		0.9677		0.8605		0.00036737
147		0.0392		0.3021		0.9696		0.8632		0.00036644
148		0.0391		0.2820		0.9696		0.8628		0.00036551
149		0.0286		0.2481		0.9768		0.8808		0.00036457
150		0.0278		0.3591		0.9779		0.8474		0.00036364
151		0.0244		0.3338		0.9804		0.8572		0.00036271
152		0.0242		0.3434		0.9807		0.8547		0.00036178
153		0.0274		0.2944		0.9778		0.8681		0.00036084
154		0.0260		0.3744		0.9788		0.8418		0.00035991
155		0.0258		0.3411		0.9793		0.8544		0.00035898
156		0.0240		0.2831		0.9804		0.8710		0.00035804
157		0.0231		0.4261		0.9811		0.8380		0.00035711
158		0.0223		0.3424		0.9814		0.8644		0.00035617
159		0.0215		0.3340		0.9825		0.8633		0.00035524
