Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
114		0.0476		0.4221		0.9618		0.8107		0.00039704
115		0.0396		0.3667		0.9683		0.8437		0.00039612
116		0.0357		0.3583		0.9712		0.8431		0.00039520
117		0.0348		0.2940		0.9717		0.8675		0.00039427
118		0.0356		0.3729		0.9711		0.8369		0.00039335
119		0.0322		0.2710		0.9737		0.8710		0.00039242
120		0.0305		0.3207		0.9753		0.8656		0.00039150
121		0.0302		0.3559		0.9748		0.8571		0.00039057
122		0.0297		0.2920		0.9755		0.8813		0.00038965
123		0.0295		0.3927		0.9759		0.8397		0.00038872
124		0.0274		0.3398		0.9773		0.8691		0.00038780
125		0.0299		0.4927		0.9754		0.7935		0.00038687
126		0.0315		0.4801		0.9741		0.7994		0.00038594
127		0.0276		0.5675		0.9769		0.7995		0.00038502
128		0.0272		0.3589		0.9776		0.8564		0.00038409
129		0.0282		0.3885		0.9768		0.8386		0.00038316
130		0.0272		0.3145		0.9776		0.8745		0.00038224
131		0.0291		0.4515		0.9763		0.8215		0.00038131
132		0.0293		0.3119		0.9763		0.8664		0.00038038
133		0.0264		0.4615		0.9784		0.8192		0.00037945
134		0.0252		0.3219		0.9786		0.8632		0.00037853
135		0.0236		0.3446		0.9807		0.8699		0.00037760
136		0.0259		0.3594		0.9786		0.8583		0.00037667
137		0.0239		0.3055		0.9801		0.8759		0.00037574
138		0.0249		0.3195		0.9797		0.8687		0.00037481
139		0.0233		0.3170		0.9805		0.8693		0.00037388
140		0.0234		0.3945		0.9809		0.8477		0.00037295
141		0.0222		0.5186		0.9814		0.8229		0.00037202
142		0.0218		0.3367		0.9821		0.8730		0.00037109
143		0.0255		0.3782		0.9788		0.8456		0.00037016
144		0.0292		0.4588		0.9762		0.8191		0.00036923
145		0.0311		0.3634		0.9749		0.8436		0.00036830
146		0.0281		0.5260		0.9771		0.8142		0.00036737
147		0.0341		0.4334		0.9730		0.8171		0.00036644
148		0.0308		0.3516		0.9746		0.8667		0.00036551
149		0.0271		0.3849		0.9781		0.8465		0.00036457
150		0.0294		0.3569		0.9761		0.8517		0.00036364
151		0.0410		0.2844		0.9672		0.8630		0.00036271
152		0.0421		0.8604		0.9661		0.6711		0.00036178
153		0.0960		0.6489		0.9248		0.7679		0.00036084
154		0.0538		0.3843		0.9581		0.8427		0.00035991
155		0.0468		0.3301		0.9647		0.8305		0.00035898
156		0.0422		0.3969		0.9664		0.8103		0.00035804
157		0.0340		0.5212		0.9728		0.8043		0.00035711
158		0.0291		0.6316		0.9762		0.7637		0.00035617
159		0.0271		0.3768		0.9778		0.8421		0.00035524
160		0.0259		0.2864		0.9790		0.8668		0.00035430
161		0.0274		0.3314		0.9776		0.8538		0.00035337
162		0.0266		0.2901		0.9784		0.8702		0.00035243
163		0.0259		0.4163		0.9786		0.8388		0.00035150
164		0.0241		0.3055		0.9800		0.8607		0.00035056
165		0.0236		0.3092		0.9807		0.8661		0.00034962
166		0.0225		0.3464		0.9816		0.8603		0.00034869
167		0.0226		0.3723		0.9813		0.8569		0.00034775
168		0.0255		0.6485		0.9793		0.7855		0.00034681
169		0.0418		0.3365		0.9672		0.8537		0.00034588
170		0.0337		0.3435		0.9733		0.8561		0.00034494
171		0.0302		0.2864		0.9748		0.8637		0.00034400
172		0.0264		0.2555		0.9781		0.8740		0.00034306
173		0.0257		0.3650		0.9792		0.8505		0.00034212
174		0.0237		0.2695		0.9804		0.8755		0.00034119
175		0.0222		0.4328		0.9812		0.8384		0.00034025
176		0.0226		0.3502		0.9816		0.8477		0.00033931
177		0.0229		0.5543		0.9810		0.8026		0.00033837
178		0.0229		0.2791		0.9810		0.8832		0.00033743
179		0.0221		0.3543		0.9817		0.8578		0.00033649
180		0.0203		0.3235		0.9833		0.8660		0.00033555
