Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
114		0.0569		0.3872		0.9557		0.8259		0.00039704
115		0.0416		0.3582		0.9681		0.8434		0.00039612
116		0.0297		0.3537		0.9761		0.8440		0.00039520
117		0.0266		0.3731		0.9785		0.8477		0.00039427
118		0.0272		0.3639		0.9773		0.8550		0.00039335
119		0.0254		0.3846		0.9794		0.8451		0.00039242
120		0.0249		0.3873		0.9800		0.8492		0.00039150
121		0.0239		0.4084		0.9803		0.8464		0.00039057
122		0.0260		0.3631		0.9786		0.8598		0.00038965
123		0.0239		0.4200		0.9807		0.8382		0.00038872
124		0.0228		0.3895		0.9814		0.8473		0.00038780
125		0.0232		0.3342		0.9809		0.8660		0.00038687
126		0.0226		0.3416		0.9817		0.8617		0.00038594
127		0.0215		0.3459		0.9820		0.8646		0.00038502
128		0.0224		0.3212		0.9817		0.8700		0.00038409
129		0.0227		0.3930		0.9813		0.8484		0.00038316
130		0.0221		0.3122		0.9816		0.8753		0.00038224
131		0.0297		0.4090		0.9772		0.8271		0.00038131
132		0.0303		0.4287		0.9754		0.8206		0.00038038
133		0.0305		0.3360		0.9757		0.8478		0.00037945
134		0.0245		0.3011		0.9798		0.8758		0.00037853
135		0.0278		0.3622		0.9770		0.8461		0.00037760
136		0.0242		0.2674		0.9801		0.8861		0.00037667
137		0.0222		0.3156		0.9813		0.8715		0.00037574
138		0.0212		0.3328		0.9823		0.8677		0.00037481
139		0.0217		0.3064		0.9821		0.8707		0.00037388
140		0.0216		0.3518		0.9820		0.8639		0.00037295
141		0.0224		0.3533		0.9815		0.8524		0.00037202
142		0.0215		0.4046		0.9821		0.8451		0.00037109
143		0.0218		0.3805		0.9824		0.8498		0.00037016
144		0.0210		0.3545		0.9827		0.8629		0.00036923
145		0.0205		0.3634		0.9830		0.8569		0.00036830
146		0.0217		0.4789		0.9822		0.8307		0.00036737
147		0.0203		0.4075		0.9829		0.8512		0.00036644
148		0.0202		0.4969		0.9831		0.8325		0.00036551
149		0.0214		0.3874		0.9818		0.8492		0.00036457
150		0.0194		0.5161		0.9837		0.8232		0.00036364
151		0.0207		0.5045		0.9834		0.8246		0.00036271
152		0.0212		0.3338		0.9823		0.8730		0.00036178
153		0.0285		0.3839		0.9771		0.8332		0.00036084
154		0.0326		0.3033		0.9743		0.8643		0.00035991
155		0.0273		0.2750		0.9779		0.8815		0.00035898
156		0.0257		0.3455		0.9791		0.8583		0.00035804
157		0.0259		0.2772		0.9784		0.8732		0.00035711
158		0.0232		0.3282		0.9810		0.8648		0.00035617
159		0.0256		0.2986		0.9791		0.8747		0.00035524
160		0.0286		0.4598		0.9764		0.8179		0.00035430
161		0.0238		0.3733		0.9805		0.8473		0.00035337
162		0.0213		0.2945		0.9822		0.8814		0.00035243
163		0.0213		0.3489		0.9821		0.8598		0.00035150
164		0.0228		0.4059		0.9814		0.8402		0.00035056
165		0.0206		0.3362		0.9825		0.8594		0.00034962
166		0.0197		0.3564		0.9835		0.8579		0.00034869
167		0.0196		0.4297		0.9836		0.8409		0.00034775
168		0.0188		0.3672		0.9841		0.8587		0.00034681
169		0.0195		0.4204		0.9835		0.8485		0.00034588
170		0.0199		0.3280		0.9831		0.8757		0.00034494
171		0.0216		0.3678		0.9820		0.8638		0.00034400
172		0.0227		0.3067		0.9814		0.8761		0.00034306
173		0.0219		0.3697		0.9818		0.8486		0.00034212
174		0.0200		0.4215		0.9832		0.8439		0.00034119
175		0.0188		0.3258		0.9841		0.8719		0.00034025
176		0.0185		0.3058		0.9845		0.8750		0.00033931
177		0.0199		0.3479		0.9834		0.8685		0.00033837
178		0.0188		0.3530		0.9845		0.8599		0.00033743
179		0.0192		0.3313		0.9839		0.8720		0.00033649
180		0.0189		0.3126		0.9841		0.8811		0.00033555
181		0.0186		0.4348		0.9843		0.8506		0.00033460
182		0.0182		0.3305		0.9845		0.8780		0.00033366
183		0.0179		0.3852		0.9848		0.8664		0.00033272
184		0.0187		0.4120		0.9844		0.8566		0.00033178
185		0.0188		0.3733		0.9841		0.8646		0.00033084
186		0.0179		0.3636		0.9849		0.8710		0.00032990
187		0.0177		0.3889		0.9851		0.8598		0.00032895
188		0.0179		0.3732		0.9847		0.8628		0.00032801
189		0.0217		0.5051		0.9826		0.8196		0.00032707
190		0.0182		0.3568		0.9845		0.8681		0.00032612
191		0.0181		0.3539		0.9849		0.8797		0.00032518
192		0.0251		1.0469		0.9796		0.6932		0.00032423
193		0.0241		0.3760		0.9803		0.8432		0.00032329
194		0.0250		0.3745		0.9794		0.8530		0.00032235
195		0.0198		0.3866		0.9831		0.8603		0.00032140
196		0.0187		0.4451		0.9839		0.8543		0.00032045
197		0.0177		0.3060		0.9848		0.8820		0.00031951
198		0.0197		0.5828		0.9834		0.8257		0.00031856
199		0.0219		0.3988		0.9820		0.8484		0.00031762
200		0.0185		0.4519		0.9844		0.8426		0.00031667
201		0.0192		0.3781		0.9840		0.8467		0.00031572
202		0.0221		0.5064		0.9819		0.8140		0.00031478
203		0.0463		0.7462		0.9680		0.7730		0.00031383
204		0.0374		0.5238		0.9693		0.7999		0.00031288
205		0.0293		0.3436		0.9762		0.8426		0.00031193
206		0.0239		0.3592		0.9799		0.8482		0.00031098
207		0.0210		0.4239		0.9827		0.8439		0.00031003
208		0.0195		0.4279		0.9837		0.8402		0.00030908
209		0.0190		0.3958		0.9839		0.8562		0.00030814
210		0.0192		0.3156		0.9837		0.8715		0.00030719
211		0.0182		0.3745		0.9846		0.8588		0.00030624
212		0.0177		0.3500		0.9850		0.8659		0.00030528
213		0.0189		0.3884		0.9840		0.8506		0.00030433
214		0.0181		0.3645		0.9846		0.8576		0.00030338
215		0.0185		0.4884		0.9846		0.8322		0.00030243
216		0.0175		0.3969		0.9849		0.8557		0.00030148
217		0.0183		0.3559		0.9852		0.8671		0.00030053
218		0.0176		0.4109		0.9850		0.8558		0.00029957
219		0.0181		0.4114		0.9849		0.8547		0.00029862
220		0.0196		0.4288		0.9834		0.8374		0.00029767
221		0.0185		0.3395		0.9843		0.8771		0.00029671
222		0.0166		0.3287		0.9860		0.8836		0.00029576
223		0.0173		0.3597		0.9851		0.8733		0.00029481
224		0.0173		0.3789		0.9855		0.8676		0.00029385
225		0.0164		0.3711		0.9860		0.8737		0.00029290
226		0.0175		0.3697		0.9851		0.8795		0.00029194
227		0.0173		0.4247		0.9854		0.8528		0.00029099
228		0.0168		0.4282		0.9855		0.8550		0.00029003
229		0.0164		0.5845		0.9860		0.8188		0.00028907
230		0.0196		0.3939		0.9835		0.8651		0.00028812
231		0.0180		0.3343		0.9848		0.8773		0.00028716
232		0.0167		0.3364		0.9858		0.8750		0.00028620
233		0.0167		0.3951		0.9859		0.8663		0.00028525
234		0.0165		0.4595		0.9858		0.8520		0.00028429
235		0.0167		0.4317		0.9856		0.8600		0.00028333
236		0.0168		0.4374		0.9857		0.8502		0.00028237
237		0.0178		0.4624		0.9848		0.8498		0.00028141
238		0.0170		0.5004		0.9854		0.8441		0.00028045
239		0.0181		0.5708		0.9849		0.8237		0.00027949
240		0.0186		0.3509		0.9844		0.8722		0.00027853
241		0.0162		0.4465		0.9862		0.8449		0.00027757
242		0.0164		0.3857		0.9859		0.8661		0.00027661
243		0.0156		0.4677		0.9867		0.8399		0.00027565
244		0.0153		0.4827		0.9869		0.8424		0.00027469
245		0.0157		0.4145		0.9865		0.8634		0.00027372
246		0.0151		0.4697		0.9871		0.8432		0.00027276
247		0.0149		0.4184		0.9874		0.8631		0.00027180
248		0.0153		0.4159		0.9868		0.8673		0.00027084
249		0.0161		0.4717		0.9864		0.8480		0.00026987
250		0.0153		0.4836		0.9868		0.8411		0.00026891
251		0.0157		0.4416		0.9865		0.8576		0.00026794
1		0.5508		0.9077		0.5700		0.1991		0.00050000
2		0.4408		0.5429		0.6644		0.5789		0.00049820
3		0.3816		0.4051		0.7225		0.6561		0.00049640
4		0.3674		0.5188		0.7341		0.5759		0.00049460
5		0.3497		0.5076		0.7473		0.5800		0.00049279
6		0.3254		0.4362		0.7695		0.6417		0.00049099
7		0.3291		0.4309		0.7558		0.6612		0.00048919
8		0.3038		0.4890		0.7849		0.6311		0.00048738
9		0.2915		0.3935		0.7949		0.7407		0.00048558
10		0.2844		0.4557		0.7991		0.6514		0.00048377
11		0.2691		0.3177		0.8115		0.7543		0.00048196
12		0.2589		0.4814		0.8117		0.6266		0.00048016
13		0.2404		0.5139		0.8326		0.6621		0.00047835
14		0.2334		0.2752		0.8354		0.7917		0.00047654
15		0.2361		0.3575		0.8314		0.7437		0.00047473
16		0.2519		0.3781		0.8162		0.7013		0.00047292
17		0.2121		0.2722		0.8495		0.8036		0.00047111
18		0.2025		0.2748		0.8549		0.8056		0.00046929
19		0.1884		0.2430		0.8746		0.8305		0.00046748
20		0.1818		0.2348		0.8769		0.8218		0.00046567
21		0.1951		0.4448		0.8602		0.6812		0.00046385
22		0.1958		0.4956		0.8542		0.6496		0.00046204
23		0.1775		0.8345		0.8771		0.5416		0.00046022
24		0.1860		0.3532		0.8693		0.7356		0.00045840
25		0.1671		0.2641		0.8812		0.8325		0.00045658
26		0.1510		0.4754		0.8953		0.6982		0.00045477
27		0.1935		0.2975		0.8547		0.7864		0.00045295
28		0.1722		0.2897		0.8736		0.7810		0.00045113
29		0.1583		0.2754		0.8887		0.8283		0.00044931
30		0.1388		0.2651		0.9017		0.8251		0.00044748
31		0.1336		0.3532		0.9083		0.7788		0.00044566
32		0.1355		0.2495		0.8999		0.8292		0.00044384
33		0.1393		0.6947		0.9009		0.6468		0.00044201
34		0.1244		0.5238		0.9130		0.7075		0.00044019
35		0.1371		0.2487		0.9038		0.8268		0.00043836
36		0.1156		0.2880		0.9192		0.8038		0.00043653
37		0.1177		0.2616		0.9147		0.8264		0.00043471
38		0.1142		0.5071		0.9199		0.7165		0.00043288
39		0.1093		0.2328		0.9227		0.8387		0.00043105
40		0.1026		0.2487		0.9286		0.8541		0.00042922
41		0.0971		0.2999		0.9309		0.8230		0.00042739
42		0.0977		0.2353		0.9313		0.8426		0.00042555
43		0.0977		0.2690		0.9308		0.8385		0.00042372
44		0.0901		0.2527		0.9346		0.8435		0.00042189
45		0.0920		0.2592		0.9352		0.8308		0.00042005
46		0.0918		0.2374		0.9336		0.8559		0.00041822
47		0.0879		0.2370		0.9378		0.8595		0.00041638
48		0.0970		0.5315		0.9290		0.7150		0.00041454
49		0.0901		0.2624		0.9324		0.8540		0.00041271
50		0.1205		0.2222		0.9094		0.8535		0.00041087
51		0.1087		0.4346		0.9200		0.7543		0.00040903
52		0.0912		0.3563		0.9327		0.8029		0.00040718
53		0.0835		0.3203		0.9397		0.8177		0.00040534
54		0.0905		0.2285		0.9333		0.8644		0.00040350
55		0.0844		0.2637		0.9379		0.8484		0.00040166
56		0.0737		0.3432		0.9464		0.8016		0.00039981
57		0.0739		0.2161		0.9453		0.8729		0.00039797
58		0.0736		0.2808		0.9461		0.8410		0.00039612
59		0.0979		0.4977		0.9266		0.7374		0.00039427
60		0.0799		0.2573		0.9410		0.8491		0.00039242
61		0.0711		0.3013		0.9475		0.8284		0.00039057
62		0.0668		0.2164		0.9506		0.8728		0.00038872
63		0.0655		0.3545		0.9511		0.8141		0.00038687
64		0.0639		0.2423		0.9530		0.8653		0.00038502
65		0.0628		0.4391		0.9547		0.7832		0.00038316
66		0.0649		0.2890		0.9532		0.8626		0.00038131
67		0.0591		0.2449		0.9562		0.8720		0.00037945
68		0.0582		0.2329		0.9571		0.8671		0.00037760
69		0.0589		0.4143		0.9554		0.7939		0.00037574
70		0.0565		0.2466		0.9586		0.8701		0.00037388
71		0.0557		0.2366		0.9579		0.8720		0.00037202
72		0.0585		0.3955		0.9558		0.8119		0.00037016
73		0.0587		0.2324		0.9559		0.8784		0.00036830
74		0.0595		0.7557		0.9542		0.7008		0.00036644
75		0.0539		0.2368		0.9594		0.8750		0.00036457
76		0.0531		0.3416		0.9596		0.8280		0.00036271
77		0.0619		0.6917		0.9525		0.7066		0.00036084
78		0.0689		0.5690		0.9489		0.7432		0.00035898
79		0.0652		0.2763		0.9503		0.8498		0.00035711
80		0.0586		0.3012		0.9556		0.8443		0.00035524
81		0.0550		0.2352		0.9593		0.8770		0.00035337
82		0.0582		0.2297		0.9554		0.8690		0.00035150
83		0.0540		0.2682		0.9593		0.8611		0.00034962
84		0.0555		0.3002		0.9578		0.8435		0.00034775
85		0.0493		0.2561		0.9631		0.8682		0.00034588
86		0.0464		0.2574		0.9638		0.8714		0.00034400
87		0.0622		0.2791		0.9513		0.8610		0.00034212
88		0.0740		0.3029		0.9422		0.8267		0.00034025
89		0.0610		0.2850		0.9536		0.8672		0.00033837
90		0.0525		0.3331		0.9607		0.8304		0.00033649
91		0.0453		0.3191		0.9648		0.8489		0.00033460
92		0.0441		0.3530		0.9668		0.8327		0.00033272
93		0.0429		0.3139		0.9675		0.8489		0.00033084
94		0.0443		0.2827		0.9663		0.8610		0.00032895
95		0.0531		0.5533		0.9589		0.7550		0.00032707
96		0.0508		0.2911		0.9606		0.8559		0.00032518
97		0.0446		0.4349		0.9654		0.8151		0.00032329
98		0.0468		0.4400		0.9629		0.8128		0.00032140
99		0.0444		0.2927		0.9649		0.8637		0.00031951
100		0.0413		0.3073		0.9672		0.8519		0.00031762
101		0.0417		0.2701		0.9681		0.8735		0.00031572
102		0.0428		0.2831		0.9667		0.8729		0.00031383
103		0.0443		0.3597		0.9654		0.8379		0.00031193
104		0.0434		0.4396		0.9657		0.8118		0.00031003
105		0.0398		0.3882		0.9681		0.8275		0.00030814
106		0.0404		0.2428		0.9679		0.8827		0.00030624
107		0.0386		0.2849		0.9698		0.8677		0.00030433
108		0.0380		0.3367		0.9699		0.8539		0.00030243
109		0.0361		0.3338		0.9718		0.8529		0.00030053
110		0.0349		0.2985		0.9724		0.8696		0.00029862
111		0.0372		0.3121		0.9707		0.8565		0.00029671
112		0.0366		0.3702		0.9712		0.8394		0.00029481
113		0.0336		0.3420		0.9737		0.8541		0.00029290
114		0.0343		0.2837		0.9731		0.8709		0.00029099
115		0.0348		0.4804		0.9719		0.8194		0.00028907
116		0.0337		0.3382		0.9740		0.8521		0.00028716
117		0.0323		0.3204		0.9742		0.8592		0.00028525
118		0.0338		0.7607		0.9730		0.7329		0.00028333
119		0.0361		0.3611		0.9712		0.8345		0.00028141
120		0.0346		0.2553		0.9725		0.8827		0.00027949
121		0.0340		0.3114		0.9731		0.8682		0.00027757
122		0.0969		0.3507		0.9296		0.8118		0.00027565
