Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
114		0.0318		0.3224		0.9740		0.8630		0.00039704
115		0.0290		0.3465		0.9766		0.8471		0.00039612
116		0.0271		0.3894		0.9776		0.8407		0.00039520
117		0.0274		0.3708		0.9774		0.8567		0.00039427
118		0.0315		0.3503		0.9745		0.8450		0.00039335
119		0.0333		0.5087		0.9736		0.8131		0.00039242
120		0.0383		0.4737		0.9685		0.8021		0.00039150
121		0.0373		0.3186		0.9691		0.8797		0.00039057
122		0.0357		0.3975		0.9709		0.8318		0.00038965
123		0.0495		0.3300		0.9615		0.8687		0.00038872
124		0.1294		0.5633		0.9070		0.7439		0.00038780
125		0.1138		0.8352		0.9142		0.7065		0.00038687
126		0.0896		0.3148		0.9321		0.8511		0.00038594
127		0.0570		0.3051		0.9549		0.8575		0.00038502
128		0.0432		0.2919		0.9656		0.8518		0.00038409
129		0.0400		0.2725		0.9687		0.8699		0.00038316
130		0.0394		0.3628		0.9690		0.8376		0.00038224
131		0.0333		0.2762		0.9730		0.8691		0.00038131
132		0.0310		0.4612		0.9752		0.8030		0.00038038
133		0.0327		0.2925		0.9741		0.8647		0.00037945
134		0.0301		0.3229		0.9757		0.8619		0.00037853
135		0.0294		0.3421		0.9758		0.8624		0.00037760
136		0.0309		0.2618		0.9746		0.8796		0.00037667
137		0.0280		0.3164		0.9774		0.8667		0.00037574
138		0.0308		0.3678		0.9754		0.8437		0.00037481
139		0.0288		0.3558		0.9762		0.8560		0.00037388
140		0.0267		0.3994		0.9784		0.8470		0.00037295
141		0.0289		0.4072		0.9771		0.8422		0.00037202
142		0.0283		0.3730		0.9765		0.8650		0.00037109
143		0.0278		0.3194		0.9774		0.8688		0.00037016
144		0.0278		0.4049		0.9771		0.8346		0.00036923
145		0.0270		0.3082		0.9781		0.8670		0.00036830
146		0.0347		0.2887		0.9723		0.8524		0.00036737
147		0.0342		0.3613		0.9729		0.8434		0.00036644
148		0.0291		0.4932		0.9769		0.8025		0.00036551
149		0.0267		0.3267		0.9781		0.8613		0.00036457
150		0.0261		0.3339		0.9786		0.8577		0.00036364
151		0.0249		0.2993		0.9793		0.8735		0.00036271
152		0.0243		0.3570		0.9800		0.8591		0.00036178
153		0.0246		0.3210		0.9797		0.8675		0.00036084
154		0.0235		0.3982		0.9806		0.8498		0.00035991
155		0.0224		0.2906		0.9814		0.8795		0.00035898
156		0.0227		0.4032		0.9811		0.8461		0.00035804
157		0.0236		0.4125		0.9808		0.8426		0.00035711
158		0.0243		0.3569		0.9795		0.8669		0.00035617
159		0.0233		0.4143		0.9810		0.8403		0.00035524
160		0.0262		0.5128		0.9784		0.8113		0.00035430
161		0.0375		0.5736		0.9703		0.7771		0.00035337
162		0.0572		0.6983		0.9545		0.7264		0.00035243
163		0.0380		0.4216		0.9700		0.8298		0.00035150
164		0.0282		0.3529		0.9768		0.8520		0.00035056
165		0.0259		0.3910		0.9787		0.8477		0.00034962
166		0.0268		0.3336		0.9785		0.8523		0.00034869
167		0.0254		0.3805		0.9792		0.8479		0.00034775
168		0.0232		0.2922		0.9808		0.8764		0.00034681
169		0.0226		0.3849		0.9812		0.8597		0.00034588
170		0.0256		0.3394		0.9789		0.8683		0.00034494
171		0.0232		0.3188		0.9810		0.8766		0.00034400
172		0.0233		0.3446		0.9805		0.8696		0.00034306
173		0.0218		0.3901		0.9821		0.8619		0.00034212
174		0.0223		0.5201		0.9816		0.8147		0.00034119
175		0.0298		0.3453		0.9760		0.8606		0.00034025
176		0.0466		0.3796		0.9628		0.7868		0.00033931
177		0.0463		0.3696		0.9633		0.8265		0.00033837
178		0.0333		0.2926		0.9738		0.8687		0.00033743
179		0.0272		0.4119		0.9775		0.8334		0.00033649
180		0.0254		0.3047		0.9792		0.8683		0.00033555
181		0.0250		0.3731		0.9795		0.8491		0.00033460
182		0.0371		0.5818		0.9707		0.7728		0.00033366
183		0.0506		0.2983		0.9594		0.8580		0.00033272
184		0.0308		0.4870		0.9755		0.8111		0.00033178
185		0.0255		0.3502		0.9789		0.8488		0.00033084
186		0.0238		0.3094		0.9806		0.8496		0.00032990
187		0.0257		0.2765		0.9791		0.8783		0.00032895
188		0.0228		0.3898		0.9808		0.8440		0.00032801
189		0.0213		0.3186		0.9826		0.8671		0.00032707
190		0.0228		0.3109		0.9815		0.8612		0.00032612
191		0.0210		0.4491		0.9826		0.8244		0.00032518
192		0.0205		0.4886		0.9827		0.8190		0.00032423
193		0.0229		0.2937		0.9809		0.8696		0.00032329
194		0.0208		0.3538		0.9827		0.8594		0.00032235
195		0.0201		0.4778		0.9833		0.8168		0.00032140
196		0.0217		0.3044		0.9819		0.8747		0.00032045
197		0.0198		0.4191		0.9839		0.8415		0.00031951
198		0.0195		0.3360		0.9838		0.8684		0.00031856
199		0.0204		0.3307		0.9833		0.8669		0.00031762
200		0.0199		0.4416		0.9836		0.8330		0.00031667
201		0.0186		0.3373		0.9845		0.8660		0.00031572
202		0.0189		0.4351		0.9843		0.8461		0.00031478
203		0.0200		0.6663		0.9833		0.7837		0.00031383
204		0.0219		0.3358		0.9821		0.8634		0.00031288
205		0.0248		0.2468		0.9797		0.8929		0.00031193
206		0.0213		0.2652		0.9826		0.8906		0.00031098
207		0.0220		0.2908		0.9818		0.8715		0.00031003
208		0.0194		0.3888		0.9840		0.8541		0.00030908
209		0.0189		0.2835		0.9842		0.8804		0.00030814
210		0.0190		0.4079		0.9843		0.8458		0.00030719
211		0.0181		0.2980		0.9849		0.8722		0.00030624
212		0.0187		0.4779		0.9847		0.8313		0.00030528
213		0.0195		0.3607		0.9838		0.8614		0.00030433
214		0.0178		0.3476		0.9852		0.8630		0.00030338
215		0.0174		0.3059		0.9856		0.8777		0.00030243
216		0.0179		0.2822		0.9849		0.8897		0.00030148
217		0.0184		0.3741		0.9847		0.8575		0.00030053
218		0.0236		0.3005		0.9812		0.8791		0.00029957
219		0.0237		0.3848		0.9815		0.8502		0.00029862
220		0.0419		1.3520		0.9666		0.6220		0.00029767
221		0.0778		0.6907		0.9412		0.7635		0.00029671
222		0.0383		0.3617		0.9685		0.8412		0.00029576
223		0.0287		0.3424		0.9770		0.8607		0.00029481
224		0.0289		0.4315		0.9768		0.8155		0.00029385
225		0.0256		0.3379		0.9794		0.8733		0.00029290
226		0.0235		0.3337		0.9809		0.8628		0.00029194
227		0.0208		0.3504		0.9828		0.8604		0.00029099
228		0.0202		0.3488		0.9833		0.8595		0.00029003
229		0.0190		0.3496		0.9843		0.8598		0.00028907
230		0.0199		0.3752		0.9833		0.8483		0.00028812
231		0.0197		0.3147		0.9837		0.8759		0.00028716
232		0.0190		0.3722		0.9842		0.8566		0.00028620
233		0.0185		0.3647		0.9847		0.8621		0.00028525
234		0.0188		0.4038		0.9844		0.8491		0.00028429
235		0.0182		0.4649		0.9849		0.8390		0.00028333
236		0.0192		0.4945		0.9841		0.8384		0.00028237
237		0.0202		0.3916		0.9832		0.8519		0.00028141
238		0.0205		0.4821		0.9836		0.8255		0.00028045
239		0.0241		0.3770		0.9803		0.8566		0.00027949
240		0.0210		0.3496		0.9825		0.8577		0.00027853
241		0.0212		0.4680		0.9829		0.8234		0.00027757
242		0.0220		0.6101		0.9819		0.7897		0.00027661
243		0.0209		0.4531		0.9824		0.8386		0.00027565
244		0.0194		0.3395		0.9841		0.8702		0.00027469
245		0.0178		0.3671		0.9853		0.8609		0.00027372
246		0.0169		0.3800		0.9860		0.8612		0.00027276
247		0.0176		0.3889		0.9853		0.8536		0.00027180
248		0.0170		0.3800		0.9857		0.8609		0.00027084
249		0.0164		0.3756		0.9863		0.8660		0.00026987
250		0.0170		0.3320		0.9856		0.8670		0.00026891
251		0.0169		0.3648		0.9861		0.8617		0.00026794
252		0.0170		0.4277		0.9857		0.8490		0.00026698
253		0.0182		0.4457		0.9848		0.8375		0.00026601
254		0.0182		0.5605		0.9849		0.8223		0.00026505
255		0.0173		0.3502		0.9858		0.8676		0.00026408
256		0.0173		0.3469		0.9858		0.8624		0.00026312
257		0.0167		0.4513		0.9860		0.8391		0.00026215
258		0.0166		0.4251		0.9861		0.8448		0.00026118
259		0.0173		0.4512		0.9857		0.8465		0.00026021
260		0.0172		0.4016		0.9857		0.8495		0.00025925
261		0.0166		0.3739		0.9862		0.8641		0.00025828
262		0.0182		1.2493		0.9847		0.6680		0.00025731
263		0.0184		1.2690		0.9849		0.6839		0.00025634
264		0.0223		0.3691		0.9818		0.8596		0.00025537
265		0.0192		0.4085		0.9843		0.8527		0.00025440
266		0.0182		0.3695		0.9849		0.8692		0.00025343
267		0.0243		0.8817		0.9802		0.7436		0.00025246
268		0.0252		0.3195		0.9798		0.8639		0.00025149
269		0.0208		0.3742		0.9827		0.8523		0.00025052
270		0.0175		0.3343		0.9855		0.8675		0.00024954
271		0.0166		0.3838		0.9861		0.8587		0.00024857
272		0.0161		0.4319		0.9868		0.8502		0.00024760
273		0.0151		0.3524		0.9874		0.8709		0.00024663
274		0.0165		0.3902		0.9863		0.8585		0.00024565
275		0.0157		0.3631		0.9870		0.8674		0.00024468
276		0.0170		0.3607		0.9859		0.8539		0.00024370
277		0.0155		0.4392		0.9872		0.8483		0.00024273
278		0.0156		0.4560		0.9868		0.8456		0.00024175
279		0.0152		0.4480		0.9872		0.8457		0.00024078
280		0.0149		0.3551		0.9875		0.8665		0.00023980
281		0.0159		0.4080		0.9866		0.8493		0.00023882
282		0.0156		0.4033		0.9871		0.8579		0.00023785
283		0.0153		0.5505		0.9870		0.8177		0.00023687
284		0.0145		0.4204		0.9880		0.8470		0.00023589
285		0.0151		0.3769		0.9872		0.8655		0.00023491
286		0.0150		0.4425		0.9877		0.8457		0.00023393
287		0.0145		0.3749		0.9880		0.8635		0.00023295
288		0.0143		0.4959		0.9879		0.8319		0.00023197
289		0.0145		0.4667		0.9878		0.8393		0.00023099
290		0.0148		0.3519		0.9876		0.8719		0.00023001
291		0.0159		0.4506		0.9865		0.8484		0.00022903
292		0.0150		0.3367		0.9876		0.8775		0.00022805
293		0.0151		0.3902		0.9872		0.8625		0.00022707
294		0.0144		0.4459		0.9878		0.8469		0.00022608
295		0.0147		0.3462		0.9877		0.8741		0.00022510
296		0.0144		0.5873		0.9880		0.8198		0.00022412
297		0.0171		0.4462		0.9858		0.8622		0.00022313
298		0.0369		0.8390		0.9716		0.7144		0.00022215
299		0.0648		0.3936		0.9501		0.8432		0.00022116
300		0.0408		0.3415		0.9677		0.8592		0.00022018
301		0.0247		0.2905		0.9799		0.8720		0.00021919
302		0.0202		0.2954		0.9834		0.8769		0.00021821
303		0.0173		0.3710		0.9858		0.8575		0.00021722
304		0.0171		0.4058		0.9859		0.8473		0.00021623
305		0.0178		0.2932		0.9851		0.8802		0.00021524
306		0.0171		0.2826		0.9858		0.8826		0.00021425
307		0.0171		0.2831		0.9859		0.8761		0.00021326
308		0.0174		0.3307		0.9857		0.8743		0.00021227
309		0.0165		0.3259		0.9860		0.8658		0.00021128
310		0.0155		0.3394		0.9870		0.8736		0.00021029
311		0.0151		0.3074		0.9874		0.8800		0.00020930
312		0.0148		0.3871		0.9875		0.8554		0.00020831
313		0.0144		0.3632		0.9880		0.8618		0.00020732
314		0.0140		0.3341		0.9883		0.8741		0.00020633
315		0.0143		0.3535		0.9880		0.8687		0.00020533
316		0.0143		0.3481		0.9879		0.8696		0.00020434
317		0.0144		0.3251		0.9880		0.8741		0.00020334
318		0.0166		0.5041		0.9864		0.8257		0.00020235
319		0.0195		0.3344		0.9839		0.8664		0.00020135
320		0.0153		0.3532		0.9874		0.8605		0.00020036
321		0.0152		0.4188		0.9871		0.8457		0.00019936
322		0.0150		0.3529		0.9875		0.8661		0.00019836
323		0.0148		0.3670		0.9877		0.8629		0.00019737
324		0.0147		0.3526		0.9876		0.8716		0.00019637
325		0.0139		0.3544		0.9883		0.8731		0.00019537
326		0.0140		0.3372		0.9884		0.8725		0.00019437
327		0.0135		0.3680		0.9888		0.8690		0.00019337
328		0.0130		0.3791		0.9891		0.8642		0.00019237
329		0.0139		0.4085		0.9885		0.8543		0.00019137
330		0.0138		0.3811		0.9883		0.8703		0.00019037
